id,albufeira,lagua,bacia,distrito,concelho,freguesia,adren_bara,adrenp_bar,altmax_bac,altmed_bac,altmin_bac,alt_bac,decmed_bac,compax_lag,decmed_lag,ppmed_a_ba,pp20_bac,pp50_bac,pp90_bac,escma_bac,esc20_bac,esc50_bac,esc90_bac,m,p,longdd,latdd,ano_ifunc,obra,projecto,tipo_barra,alt_barrag,alt_terren,dcoroament,ccoroament,lcoroament,npa,nmc,nme,cc_nmc,cc_npa,supinundnp,tresid,coeficreg,poa,rhidro_cod,escadaspei,aespanha,observacoe
158,Covas,RIO COURA,MINHO/ÂNCORA,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,COVAS,175.75,175.75,870,404,99,0,15.1,29,2.2,2272,0,0,0,0,0,0,0,152428,545710,-8.706224726,41.879413977,1976,,,Gravidade de betão,0,89,0,0,0,88,0,0,0,0,0,0,0,,,,N,
157,Covão da Erva Fome,,MONDEGO,GUARDA,SEIA,SABUGUEIRO,0.02,0.03,1466,1458,1450,0,16.9,0.1,0,0,0,0,0,0,0,0,0,245225,380436,-7.600461428,40.391442826,1955,,,Arco Gravidade,10,0,0,0,0,1436,1438,1427,0,0,7,0,0,,,,N,"Afluem-lhe os caudais derivados do Vale do Rossim, transferidos para o Lagoacho por túnel"
209,Covão da Lameira ou do Boeiro,RIBEIRA DE LORIGA,MONDEGO,GUARDA,SEIA,LORIGA,1.13,1.13,1922,1835,1735,0,17,1.6,8.2,2017,0,0,0,0,0,0,0,243208,374275,-7.624630123,40.336068836,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,N,As afluências da sua bacia são transferidas para o Covão do Meio
210,Covão do Curral,RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES,MONDEGO,GUARDA,SEIA,SÃO ROMÃO,1.5,1.25,1704,1598,1477,0,17.9,1.8,10.4,1902,0,0,0,0,0,0,0,241609,378194,-7.64319171,40.371441289,1945,,,Alvenaria,10,0,0,0,0,1479.5,0,0,0,0,41,0,0,,,,N,As afluências da sua bacia são transferidas por canal para a Câmara de Carga e do Sabugueiro II
27,Covão do Ferro,RIBEIRA DE UNHAIS,TEJO,CASTELO BRANCO,COVILHÃ,UNHAIS DA SERRA,1.85,1.86,1991,1806,1517,0,33,2.4,16.4,2054,0,0,0,0,0,0,0,245711,371801,-7.595352253,40.313656957,1956,,,Gravidade de betão,35,0,278,0,0,1575.1,1575.7,0,0,0,0,0,0,,12L/01AE,N,N,
155,Covão do Forno,RIBEIRA DA CANICA OU DA LAGOA OU DA PRAGUEIRA,MONDEGO,GUARDA,SEIA,SÃO ROMÃO,0.24,0.25,1700,1629,1575,0,21,0.7,8.6,1907,0,0,0,0,0,0,0,242025,377866,-7.638315346,40.368466768,1966,,,Gravidade de betão,7,0,240,0,0,1571.07,1571.36,0,0,0,0,0,0,,,,N,O canal de adução deste aproveitamento tem origem na B. da Lagoa Comprida e é ligada á Central por conduta forçada
19,Covão do Meio,RIBEIRA DE LORIGA,MONDEGO,GUARDA,SEIA,LORIGA,4.3,3.17,1991,1848,1648,0,17,2.9,11.1,2054,0,0,0,0,0,0,0,242502,374035,-7.632954079,40.333943765,1953,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,ENGª LAGIHA SERAFIM,Gravidade de betão,31.5,25,300,1653.9,0,1653.7,1653.9,0,0,0,90,0,0,,13L/01AE,N,N,Os escoamento gerados na sua bacia são derivados para a barragem da Lagoa Comprida pelo túnel do Covão do Meio.
192,Gouvães (prevista),RIO LOUREDO,DOURO,VILA REAL,VILA POUCA DE AGUIAR,GOUVÃES DA SERRA,39.62,37.59,1200,951,868,0,7.8,13.9,1.5,1729,0,0,0,0,0,0,0,234017,502584,-7.725768316,41.491841574,0,,,Contrafortes,0,870,0,0,0,883.5,0,855,0,0,0,0,0,,06K/05A,,N,
116,Covão do Vale do Conde,RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES,MONDEGO,GUARDA,SEIA,SABUGUEIRO,0.22,0.23,1715,1676,1616,0,14.5,0.8,11.3,0,0,0,0,0,0,0,0,243319,378129,-7.62306279,40.370769016,1955,,,Alvenaria,5,0,62,1586,0,1586,1589,1582,0,0,0,0,0,,,,,As água da sua bacia de armazenamento são transferidas para a bacia do Covão da Erva da Fome por canal
156,Covão dos Conchos,RIBEIRA DO COVAO DO URSO OU DA NAVE DESCIDA OU DAS NAVES,MONDEGO,GUARDA,SEIA,SABUGUEIRO,2.12,2.13,1815,1693,1634,0,8,2.4,3.1,1968,0,0,0,0,0,0,0,244425,377443,-7.610088743,40.364533402,1955,,,Gravidade de betão,4.6,0,48,1631.2,0,1631.2,0,0,0,0,20,0,0,,,,N,Está ligada á B. da Lagoa Comprida pelo túnel dos Conchos
